मनमोहन	Manmohan
सिंह	Singh
ने	NULL/rule/ne
दावा	assertion
किया	did
कि	ki
यूपीए	UPA
राज	administration
में	in
गरीबी	poverty
कम	less
हुई	became

नियोजित	employed
शिक्षकों	teachers
पर	on
हुए	became
लाठी	bludgeon
चार्ज	charge
के	ke
विरोध	opposition
आज	today
गुरुवार	Thursday
को	ko
बिहार	Bihar
बंद	closed
दौरान	during
कई	many
जगहों	places
ट्रेनें	trains
रोक	stop
दी	di
गयी	been
और	and
सड़क	road
यातायात	communication
बाधित	barred
कर	do
दिया	give
गया	been

फिल्म	film
प्रियंका	Priyanka
सिर्फ	only
इस	this
गाने	song
होंगी	be

एक	one
मई	May
रिलीज़	release
हो	ho
रही	being
है	is

अटल	Atal
बिहारी	Bihari
वाजपेयी	Vajpayee
इसका	its
सबसे	most
बेहतर	superior
उदहारण	example

पश्चिम	West
बंगाल	Bengal
42	42
सीटें	seats
और	and
तारीख	date
भी	also
तृणमूल	Trinamool
कॉंग्रेस	Congress
पास	near
26	26
सीटें	seats

58	58
साल	year
ममता	Mamta
बनर्जी	Banerjee
बारे	about
केवल	only
दो	two
ही	only
बातें	things
दावे	claims
साथ	with
कहीं	somewhere
जा	go
सकती	can

कोलकाता	Kolkata
लखनऊ	Lucknow
मुंबई	Mumbai
यहां	here
तक	to
दिल्ली	Delhi
लोगों	people
राहुल	Rahul
खिलाफ	against
आवाज	voice
उठाई	raised

विस्फोटक	explosive
ओपनर	opener
टीम	team
से	from
बाहरका	outsider
रास्ता	road
दिखा	saw
दिया	give
गया	been

सचिन	Sachin
तेंदुलकर	Tendulkar
विनोद	Vinod
कांबली	Kambli
उससे	thereby
पहले	before
कोई	someone
नहीं	no
जानता	know
था	was

देश	country
का	of
विकास	progress
बिना	without
मजदूर	workers
संभव	possible
नहीं	no
